duration,rating,year,director,major cast,certification,gross,votes,budget
147,75,76,27,219,16,408,782000,250
155,80,81,81,424,16,108,621960,165
135,80,72,387,186,16,0,36519,0
142,75,64,12,99,14,249,630400,130
126,75,74,200,393,16,124,376956,12
125,80,35,355,8,14,50,257405,1
116,85,57,336,359,14,57,691060,20
143,75,72,344,96,16,304,695906,200
105,75,50,388,228,14,56,490048,20
171,80,53,206,261,13,5,29318,4
136,75,65,189,133,14,119,251745,28
110,75,70,95,220,3,171,339462,38
146,75,64,396,115,16,77,363427,70
112,80,59,75,352,14,6,90932,10
119,75,78,74,374,13,324,577894,110
149,80,28,362,240,14,56,665971,12
135,75,36,60,88,16,31,74330,3
110,80,29,118,328,14,102,216306,6
130,75,75,1,83,6,70,429596,28
178,80,63,221,316,5,1,149425,10
100,75,27,229,67,6,0,45155,4
142,90,54,101,420,6,28,2657521,25
127,75,57,260,8,6,41,308812,35
159,80,75,343,340,16,6,125158,18
166,75,68,71,48,16,127,649066,150
122,75,72,78,49,6,132,708292,21
169,85,74,58,291,16,188,1802624,165
137,75,79,275,2,14,2,306946,18
115,75,61,353,415,14,1,49142,1
138,75,63,60,389,6,90,456357,25
103,75,50,56,270,14,285,564490,18
107,75,76,340,225,14,248,334313,150
140,80,71,112,428,16,13,471790,25
107,75,50,324,196,6,61,212341,20
121,75,50,292,356,14,52,142150,31
88,85,54,337,355,14,422,1050846,45
120,75,70,237,108,16,96,699908,40
125,80,72,400,325,14,0,59240,12
115,80,41,369,171,6,248,961086,18
118,80,75,225,51,14,14,419569,13
133,85,35,262,192,6,112,1002714,3
101,75,61,6,316,1,96,367576,17
140,80,64,158,204,13,1,39894,12
130,85,66,58,83,14,53,1323989,40
113,75,29,186,122,6,44,111525,3
125,80,15,348,238,14,0,33218,0
122,75,68,72,354,14,18,108579,25
101,75,78,407,58,14,32,168746,32
120,80,68,67,268,16,141,843754,15
109,75,72,69,195,6,41,249215,7
81,75,59,398,434,6,52,205272,21
161,75,79,306,260,6,142,726858,90
110,75,66,287,232,13,22,313902,27
116,75,75,130,363,12,3,55861,3
158,80,67,289,97,6,40,584344,25
121,85,37,115,279,14,322,1356375,11
113,75,42,268,453,14,78,122195,11
122,75,49,330,125,14,26,135601,18
141,75,66,60,243,16,13,163323,19
129,80,55,384,56,6,57,617262,29
98,80,68,21,34,14,223,1109223,180
122,80,33,409,132,6,232,406680,11
161,80,17,73,451,14,44,220939,3
99,80,54,219,187,14,4,103561,3
154,75,63,90,425,16,111,440923,140
115,75,62,372,399,13,22,193292,19
133,80,53,169,97,16,25,175297,13
112,75,52,253,97,16,75,170835,40
153,75,47,369,83,14,22,126348,35
129,80,75,392,280,6,45,468695,20
89,75,59,258,366,13,10,267424,10
117,80,44,133,404,14,0,169517,1
112,80,28,104,73,14,33,180691,5
139,80,78,360,408,16,1,93240,4
99,80,74,407,345,16,59,803193,25
143,80,13,3,411,14,0,78693,0
155,85,48,121,338,14,11,260499,5
108,75,49,335,299,14,118,531226,40
104,80,10,51,322,14,0,172012,1
127,80,29,61,457,9,0,29053,0
111,80,67,45,202,14,206,731077,150
129,80,33,118,328,14,159,262154,5
83,75,49,340,225,14,111,263570,40
80,80,64,319,142,6,5,263917,2
161,85,26,351,88,6,6,757752,1
140,75,78,307,6,16,1,26459,1
96,75,73,83,51,13,1,88176,1
136,85,59,220,264,6,171,1899417,63
147,75,75,263,144,13,161,202526,28
134,80,21,332,328,6,8,82377,2
124,75,14,89,182,14,21,27992,2
197,75,25,73,321,6,111,77036,11
113,75,34,99,159,14,4,112519,1
109,75,66,12,235,6,35,500294,76
188,75,53,326,16,13,6,45236,6
125,80,63,388,143,14,66,441480,70
105,75,12,179,182,14,0,79185,1
133,75,75,342,296,16,109,273985,35
121,80,74,150,79,16,333,1170539,170
91,75,38,176,119,6,47,280167,0
86,75,74,163,410,13,3,184526,1
109,75,62,230,319,13,0,46025,0
92,75,68,236,226,14,215,468783,130
131,80,63,43,398,16,0,183142,2
152,90,68,58,83,16,534,2630272,185
99,75,24,351,88,6,14,217790,0
164,80,72,58,83,16,448,1693469,250
127,75,72,252,210,16,6,100810,8
132,80,64,60,177,16,100,685977,30
109,75,32,173,229,14,7,110099,2
151,85,66,241,260,6,132,1316304,90
100,75,69,390,459,16,277,782970,35
137,85,51,148,24,6,204,1092345,102
86,75,67,175,167,13,9,116956,0
93,75,58,407,207,16,17,186195,9
95,75,69,234,462,16,32,514808,7
101,75,68,133,66,14,15,144229,34
132,80,48,184,56,6,83,872236,28
154,80,60,7,135,6,5,240725,2
138,75,37,369,351,14,132,202512,20
130,75,77,376,77,16,315,745727,180
154,85,54,306,227,6,107,2034039,8
175,90,32,99,282,6,134,1841839,6
102,75,54,223,348,6,2,34584,1
100,80,63,21,259,14,380,1038535,94
193,75,43,300,379,16,21,61870,27
123,75,66,138,247,6,17,186997,6
101,80,62,19,9,16,0,125121,6
106,75,57,20,142,16,12,304781,36
118,75,76,244,443,4,5,219179,5
102,80,54,207,52,14,0,82151,0
123,75,64,269,158,6,81,571378,29
123,75,67,171,241,16,50,278601,30
129,75,42,355,328,14,54,40879,16
145,75,66,290,61,6,4,77254,21
92,75,54,216,50,14,3,223508,0
114,75,62,297,126,13,4,27428,4
172,80,23,188,402,14,12,244643,4
111,75,66,284,106,16,31,106940,15
93,75,34,247,87,6,119,140167,2
113,75,77,363,194,14,132,164648,20
143,75,60,335,427,16,233,590052,90
137,80,66,98,437,6,11,389084,2
76,75,53,135,101,14,75,337373,18
96,80,67,404,278,12,4,95145,7
164,80,77,81,171,16,92,565848,150
105,75,44,141,39,16,238,414697,30
140,75,74,22,11,13,1,53834,1
97,75,69,87,378,13,5,359436,5
99,80,52,306,172,2,2,1012024,1
220,75,16,53,73,14,93,71392,13
87,75,61,347,305,11,0,28393,0
86,80,59,45,127,14,23,197328,70
112,75,51,187,92,6,57,141398,6
94,75,53,219,237,14,1,102513,1
127,80,53,369,377,16,402,983044,63
129,80,4,100,199,14,9,115991,1
135,75,62,359,124,13,13,179342,5
119,75,53,396,85,6,12,227385,13
218,80,22,375,110,14,44,293563,15
128,75,48,4,159,6,34,101381,15
134,80,22,325,38,6,4,56982,0
143,75,33,105,123,6,16,41412,16
129,80,40,146,284,6,23,353565,18
153,80,74,308,0,16,10,188147,10
102,75,3,251,452,11,3,51386,1
126,75,73,133,176,10,5,86360,30
118,75,53,222,228,14,9,238022,11
156,80,75,7,260,6,183,799022,135
86,80,48,133,178,14,1,337805,3
119,75,23,14,361,6,11,190050,2
120,75,66,373,272,13,0,34982,1
168,75,75,306,382,6,54,596337,44
116,80,47,362,292,16,46,739635,30
136,75,78,46,254,6,215,382562,36
149,80,74,71,33,6,167,976261,61
103,75,46,178,290,14,70,358165,6
159,75,56,221,138,13,4,67474,3
104,75,77,198,98,2,176,602442,4
100,75,69,135,94,14,75,229378,60
118,85,51,194,217,6,130,1421555,19
129,75,69,43,183,13,0,64724,5
135,75,79,125,384,14,108,203110,40
105,75,75,13,418,12,6,132338,8
105,80,58,386,438,13,1,87453,1
112,75,69,267,394,6,115,680948,30
127,75,54,88,419,14,5,176960,18
98,80,70,80,81,14,217,736860,165
115,80,67,203,446,13,0,104565,4
124,85,40,140,279,16,290,1283743,18
130,80,68,418,286,12,1,52390,1
93,80,37,414,456,6,39,265907,4
110,75,60,365,200,16,22,135449,5
121,80,19,37,277,14,25,267231,2
140,75,65,115,173,14,380,788451,113
143,80,66,90,260,6,57,548765,100
116,75,51,172,141,6,6,122383,9
107,75,60,172,141,14,45,312159,26
127,75,69,142,78,16,257,603613,150
114,75,68,393,253,13,2,217991,4
122,80,79,63,318,4,3,91101,3
152,75,69,271,301,13,10,217232,13
134,75,28,26,333,14,22,31767,4
161,80,19,282,199,6,11,66770,0
90,75,63,347,436,16,0,40614,0
120,80,75,116,428,16,154,995678,150
102,80,33,294,373,14,30,48054,2
143,80,79,274,406,16,0,54452,2
101,80,63,283,75,6,0,576319,3
114,75,67,33,307,6,20,272823,19
100,75,31,249,161,14,4,202000,3
174,80,20,97,275,6,19,73610,0
140,80,65,58,83,16,206,1461261,150
108,80,64,255,214,16,34,1001962,20
113,75,23,361,64,14,13,78172,3
106,75,76,175,147,12,3,94062,3
122,80,79,390,216,6,335,1260400,55
120,75,61,278,308,13,0,94103,0
115,80,64,45,91,14,261,733185,92
126,80,73,358,216,6,25,610050,23
138,80,70,241,260,6,128,1300721,80
126,75,72,354,29,16,0,43612,0
119,85,58,395,124,13,6,1116966,20
181,80,50,214,245,14,184,265609,22
101,75,12,14,145,6,7,134394,1
108,75,64,284,289,6,176,463913,75
147,75,78,57,425,15,220,331996,178
124,75,76,29,392,16,2,60822,2
161,75,73,296,184,16,258,662104,225
141,80,62,369,260,6,164,972912,52
169,85,58,369,427,6,216,1381197,70
94,75,65,15,438,13,0,51119,0
136,75,74,27,219,16,259,841060,170
108,75,74,9,12,16,25,543491,15
170,75,58,153,416,6,36,188327,52
100,75,52,149,8,13,10,106049,12
146,80,71,378,444,16,169,458543,25
104,75,31,409,159,6,15,123464,1
131,80,70,81,269,4,6,177431,6
109,80,42,176,252,6,13,423643,15
155,75,57,289,281,4,26,266115,15
158,75,71,71,96,0,102,463127,90
132,75,61,165,389,14,40,150610,22
136,80,31,362,273,6,6,826369,2
101,80,53,131,39,14,70,629024,14
99,75,61,319,142,13,2,64514,2
101,75,66,193,440,16,59,480755,8
126,80,57,127,360,14,138,960868,10
117,75,70,245,1,16,48,562594,30
93,75,42,382,407,6,47,252984,15
117,80,66,106,449,14,163,510128,55
120,80,36,177,407,14,117,573574,0
130,75,51,190,239,14,82,75471,11
170,75,24,114,27,14,72,95950,17
113,75,59,183,399,13,22,335895,13
195,90,53,281,403,6,96,1346124,22
132,75,73,142,78,16,228,483798,190
90,75,70,324,271,11,1,90457,14
128,80,47,411,57,14,3,71510,3
98,80,47,324,63,14,30,426994,16
157,75,67,322,115,6,130,426695,100
89,80,46,324,448,14,52,403032,8
85,80,13,105,155,14,9,104778,0
125,80,20,37,191,14,18,181661,3
103,80,58,298,214,14,125,1071309,60
172,75,30,119,152,14,61,102592,12
165,75,74,319,131,6,25,354651,4
162,75,69,419,193,6,107,551377,130
123,75,68,106,449,16,69,303435,55
94,75,71,414,323,12,56,423865,17
92,75,59,181,26,14,245,579457,90
113,75,64,94,190,16,57,489428,13
117,80,80,132,313,16,47,57438,49
90,80,52,340,225,14,217,418191,28
129,75,57,71,298,16,48,395904,50
210,80,64,30,391,14,1,90991,1
118,80,76,109,116,14,51,236542,12
108,75,59,399,450,6,0,239885,6
